t,beta,r,d,gamma,sigma
1,0.090060561,0.031865332,0.002277696,0.000155808,0.05
2,0.090060561,0.031865332,0.002277696,0.000155808,0.05
3,0.090060561,0.031865332,0.002277696,0.000155808,0.05
4,0.090060561,0.031865332,0.002277696,0.000155808,0.05
5,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
6,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
7,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
8,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
9,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
10,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
11,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
12,0.070465816,0.048986335,0.00133175,9.69E-05,0.05
13,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
14,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
15,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
16,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
17,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
18,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
19,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
20,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
21,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
22,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
23,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
24,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
25,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
26,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
27,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
28,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
29,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
30,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
31,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
32,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
33,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
34,0.043697253,0.059279802,0.00076853,1.46E-11,0.05
35,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
36,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
37,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
38,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
39,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
40,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
41,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
42,0.04129434,0.049631967,0.000505389,7.19E-11,0.05
43,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
44,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
45,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
46,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
47,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
48,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
49,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
50,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
51,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
52,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
53,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
54,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
55,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
56,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
57,0.031605957,0.051472834,0.000362372,2.14E-11,0.05
