t,beta,r,d,gamma,sigma
1,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
2,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
3,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
4,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
5,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
6,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
7,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
8,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
9,0.077774016,0.031182613,0.002607668,8.79E-08,0.05
10,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
11,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
12,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
13,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
14,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
15,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
16,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
17,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
18,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
19,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
20,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
21,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
22,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
23,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
24,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
25,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
26,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
27,0.008716903,0.060743858,0.001502193,7.48E-08,0.05
28,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
29,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
30,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
31,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
32,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
33,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
34,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
35,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
36,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
37,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
38,0.002291768,0.090150568,0.001049615,5.80E-08,0.05
39,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
40,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
41,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
42,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
43,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
44,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
45,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
46,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
47,0.017553844,0.090119682,0.001161499,1.64E-08,0.05
48,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
49,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
50,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
51,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
52,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
53,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
54,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
55,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
56,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
57,0.066778937,0.062783818,0.001825145,5.43E-08,0.05
58,0.029899144,0.024146758,0.005375644,9.33E-08,0.05
59,0.029899144,0.024146758,0.005375644,9.33E-08,0.05
60,0.029899144,0.024146758,0.005375644,9.33E-08,0.05
61,0.029899144,0.024146758,0.005375644,9.33E-08,0.05
62,0.029899144,0.024146758,0.005375644,9.33E-08,0.05
63,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
64,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
65,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
66,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
67,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
68,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
69,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
70,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
71,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
72,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
73,0.028244198,0.001242766,0.027801788,4.65E-08,0.05
74,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
75,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
76,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
77,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
78,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
79,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
80,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
81,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
82,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
83,0.008917961,0.019274557,0.000162379,1.24E-07,0.05
84,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
85,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
86,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
87,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
88,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
89,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
90,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
91,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
92,0.004449606,0.018701121,0.000186293,8.35E-08,0.05
93,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
94,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
95,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
96,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
97,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
98,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
99,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
100,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
101,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
102,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
103,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
104,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
105,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
106,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
107,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
108,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
109,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
110,0.00821355,0.003172694,6.62E-05,6.51E-08,0.05
111,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
112,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
113,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
114,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
115,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
116,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
117,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
118,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
119,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
120,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
121,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
122,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
123,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
124,0.004297486,0.001910275,5.28E-06,1.32E-07,0.05
125,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
126,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
127,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
128,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
129,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
130,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
131,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
132,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
133,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
134,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
135,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
136,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
137,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
138,0.011321112,0.002360764,7.72E-05,1.01E-07,0.05
139,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
140,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
141,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
142,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
143,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
144,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
145,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
146,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
147,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
148,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
149,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
150,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
151,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
152,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
153,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
154,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
155,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
156,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
157,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
158,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
159,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
160,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
161,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
162,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
163,0.012594789,0.006306591,8.67E-05,1.19E-07,0.05
164,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
165,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
166,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
167,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
168,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
169,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
170,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
171,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
172,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
173,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
174,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
175,0.036957414,0.014193864,0.000329067,9.18E-08,0.05
176,0.019478087,0.026807553,0.00043483,1.32E-07,0.05
177,0.019478087,0.026807553,0.00043483,1.32E-07,0.05
178,0.019478087,0.026807553,0.00043483,1.32E-07,0.05
179,0.019478087,0.026807553,0.00043483,1.32E-07,0.05
180,0.019478087,0.026807553,0.00043483,1.32E-07,0.05
