t,beta,r,d,gamma,sigma
1,0.124728557,0.018087786,0.014923197,0.000100595,0.05
2,0.124728557,0.018087786,0.014923197,0.000100595,0.05
3,0.124728557,0.018087786,0.014923197,0.000100595,0.05
4,0.124728557,0.018087786,0.014923197,0.000100595,0.05
5,0.124728557,0.018087786,0.014923197,0.000100595,0.05
6,0.124728557,0.018087786,0.014923197,0.000100595,0.05
7,0.124728557,0.018087786,0.014923197,0.000100595,0.05
8,0.124728557,0.018087786,0.014923197,0.000100595,0.05
9,0.124728557,0.018087786,0.014923197,0.000100595,0.05
10,0.124728557,0.018087786,0.014923197,0.000100595,0.05
11,0.124728557,0.018087786,0.014923197,0.000100595,0.05
12,0.124728557,0.018087786,0.014923197,0.000100595,0.05
13,0.124728557,0.018087786,0.014923197,0.000100595,0.05
14,0.124728557,0.018087786,0.014923197,0.000100595,0.05
15,0.124728557,0.018087786,0.014923197,0.000100595,0.05
16,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
17,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
18,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
19,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
20,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
21,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
22,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
23,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
24,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
25,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
26,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
27,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
28,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
29,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
30,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
31,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
32,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
33,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
34,0.042013335,0.017051322,0.006945616,9.81E-05,0.05
35,0.022019265,0.023132371,0.003680702,0.000100875,0.05
36,0.022019265,0.023132371,0.003680702,0.000100875,0.05
37,0.022019265,0.023132371,0.003680702,0.000100875,0.05
38,0.022019265,0.023132371,0.003680702,0.000100875,0.05
39,0.022019265,0.023132371,0.003680702,0.000100875,0.05
40,0.022019265,0.023132371,0.003680702,0.000100875,0.05
41,0.022019265,0.023132371,0.003680702,0.000100875,0.05
42,0.022019265,0.023132371,0.003680702,0.000100875,0.05
43,0.022019265,0.023132371,0.003680702,0.000100875,0.05
44,0.022019265,0.023132371,0.003680702,0.000100875,0.05
45,0.022019265,0.023132371,0.003680702,0.000100875,0.05
