t,beta,r,d,gamma,sigma
1,0.097063391,0.025757824,0.002591293,9.98E-05,0.05
2,0.097063391,0.025757824,0.002591293,9.98E-05,0.05
3,0.097063391,0.025757824,0.002591293,9.98E-05,0.05
4,0.097063391,0.025757824,0.002591293,9.98E-05,0.05
5,0.070364555,0.047448641,0.001433596,0.000103985,0.05
6,0.070364555,0.047448641,0.001433596,0.000103985,0.05
7,0.070364555,0.047448641,0.001433596,0.000103985,0.05
8,0.070364555,0.047448641,0.001433596,0.000103985,0.05
9,0.070364555,0.047448641,0.001433596,0.000103985,0.05
10,0.070364555,0.047448641,0.001433596,0.000103985,0.05
11,0.070364555,0.047448641,0.001433596,0.000103985,0.05
12,0.070364555,0.047448641,0.001433596,0.000103985,0.05
13,0.041538248,0.057715044,0.000738638,0.000102764,0.05
14,0.041538248,0.057715044,0.000738638,0.000102764,0.05
15,0.041538248,0.057715044,0.000738638,0.000102764,0.05
16,0.041538248,0.057715044,0.000738638,0.000102764,0.05
17,0.041538248,0.057715044,0.000738638,0.000102764,0.05
18,0.041538248,0.057715044,0.000738638,0.000102764,0.05
19,0.041538248,0.057715044,0.000738638,0.000102764,0.05
20,0.041538248,0.057715044,0.000738638,0.000102764,0.05
21,0.041538248,0.057715044,0.000738638,0.000102764,0.05
22,0.041538248,0.057715044,0.000738638,0.000102764,0.05
23,0.041538248,0.057715044,0.000738638,0.000102764,0.05
24,0.041538248,0.057715044,0.000738638,0.000102764,0.05
25,0.041538248,0.057715044,0.000738638,0.000102764,0.05
26,0.041538248,0.057715044,0.000738638,0.000102764,0.05
27,0.041538248,0.057715044,0.000738638,0.000102764,0.05
28,0.041538248,0.057715044,0.000738638,0.000102764,0.05
29,0.041538248,0.057715044,0.000738638,0.000102764,0.05
30,0.041538248,0.057715044,0.000738638,0.000102764,0.05
31,0.041538248,0.057715044,0.000738638,0.000102764,0.05
32,0.041538248,0.057715044,0.000738638,0.000102764,0.05
33,0.041538248,0.057715044,0.000738638,0.000102764,0.05
34,0.041538248,0.057715044,0.000738638,0.000102764,0.05
35,0.04089023,0.048075944,0.000483409,0.000103223,0.05
36,0.04089023,0.048075944,0.000483409,0.000103223,0.05
37,0.04089023,0.048075944,0.000483409,0.000103223,0.05
38,0.04089023,0.048075944,0.000483409,0.000103223,0.05
39,0.04089023,0.048075944,0.000483409,0.000103223,0.05
40,0.04089023,0.048075944,0.000483409,0.000103223,0.05
41,0.04089023,0.048075944,0.000483409,0.000103223,0.05
42,0.04089023,0.048075944,0.000483409,0.000103223,0.05
43,0.028965175,0.054088709,0.000368956,0.000104928,0.05
44,0.028965175,0.054088709,0.000368956,0.000104928,0.05
45,0.028965175,0.054088709,0.000368956,0.000104928,0.05
46,0.028965175,0.054088709,0.000368956,0.000104928,0.05
47,0.028965175,0.054088709,0.000368956,0.000104928,0.05
48,0.028965175,0.054088709,0.000368956,0.000104928,0.05
49,0.028965175,0.054088709,0.000368956,0.000104928,0.05
50,0.028965175,0.054088709,0.000368956,0.000104928,0.05
51,0.028965175,0.054088709,0.000368956,0.000104928,0.05
52,0.028965175,0.054088709,0.000368956,0.000104928,0.05
53,0.028965175,0.054088709,0.000368956,0.000104928,0.05
54,0.028965175,0.054088709,0.000368956,0.000104928,0.05
55,0.028965175,0.054088709,0.000368956,0.000104928,0.05
56,0.028965175,0.054088709,0.000368956,0.000104928,0.05
57,0.028965175,0.054088709,0.000368956,0.000104928,0.05
58,0.068204908,0.041131013,0.000209995,0.0001028,0.05
59,0.068204908,0.041131013,0.000209995,0.0001028,0.05
60,0.068204908,0.041131013,0.000209995,0.0001028,0.05
61,0.068204908,0.041131013,0.000209995,0.0001028,0.05
62,0.068204908,0.041131013,0.000209995,0.0001028,0.05
63,0.068204908,0.041131013,0.000209995,0.0001028,0.05
64,0.068204908,0.041131013,0.000209995,0.0001028,0.05
65,0.04698791,0.03418247,0.000126048,0.000100719,0.05
66,0.04698791,0.03418247,0.000126048,0.000100719,0.05
67,0.04698791,0.03418247,0.000126048,0.000100719,0.05
68,0.04698791,0.03418247,0.000126048,0.000100719,0.05
69,0.04698791,0.03418247,0.000126048,0.000100719,0.05
70,0.04698791,0.03418247,0.000126048,0.000100719,0.05
71,0.04698791,0.03418247,0.000126048,0.000100719,0.05
72,0.04698791,0.03418247,0.000126048,0.000100719,0.05
73,0.04698791,0.03418247,0.000126048,0.000100719,0.05
74,0.04698791,0.03418247,0.000126048,0.000100719,0.05
75,0.04698791,0.03418247,0.000126048,0.000100719,0.05
76,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
77,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
78,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
79,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
80,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
81,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
82,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
83,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
84,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
85,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
86,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
87,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
88,0.026040422,0.138048842,0.000254913,9.96E-05,0.05
89,0.041831976,0.128408446,0.00010431,0.000102141,0.05
90,0.041831976,0.128408446,0.00010431,0.000102141,0.05
91,0.041831976,0.128408446,0.00010431,0.000102141,0.05
92,0.041831976,0.128408446,0.00010431,0.000102141,0.05
93,0.041831976,0.128408446,0.00010431,0.000102141,0.05
94,0.041831976,0.128408446,0.00010431,0.000102141,0.05
95,0.041831976,0.128408446,0.00010431,0.000102141,0.05
96,0.041831976,0.128408446,0.00010431,0.000102141,0.05
97,0.041831976,0.128408446,0.00010431,0.000102141,0.05
98,0.041831976,0.128408446,0.00010431,0.000102141,0.05
99,0.041831976,0.128408446,0.00010431,0.000102141,0.05
100,0.041831976,0.128408446,0.00010431,0.000102141,0.05
101,0.041831976,0.128408446,0.00010431,0.000102141,0.05
102,0.041831976,0.128408446,0.00010431,0.000102141,0.05
103,0.041831976,0.128408446,0.00010431,0.000102141,0.05
104,0.107096306,0.077976479,0.002428004,0.000104928,0.05
105,0.107096306,0.077976479,0.002428004,0.000104928,0.05
106,0.107096306,0.077976479,0.002428004,0.000104928,0.05
107,0.107096306,0.077976479,0.002428004,0.000104928,0.05
108,0.107096306,0.077976479,0.002428004,0.000104928,0.05
109,0.107096306,0.077976479,0.002428004,0.000104928,0.05
110,0.107096306,0.077976479,0.002428004,0.000104928,0.05
111,0.107096306,0.077976479,0.002428004,0.000104928,0.05
112,0.107096306,0.077976479,0.002428004,0.000104928,0.05
113,0.107096306,0.077976479,0.002428004,0.000104928,0.05
114,0.107096306,0.077976479,0.002428004,0.000104928,0.05
115,0.107096306,0.077976479,0.002428004,0.000104928,0.05
116,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
117,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
118,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
119,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
120,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
121,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
122,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
123,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
124,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
125,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
126,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
127,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
128,0.110669899,0.047405475,0.000839797,9.98E-05,0.05
129,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
130,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
131,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
132,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
133,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
134,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
135,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
136,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
137,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
138,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
139,0.06087087,0.077046263,9.26E-05,0.000102107,0.05
140,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
141,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
142,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
143,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
144,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
145,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
146,0.084220479,0.067044746,0.000192245,9.70E-05,0.05
147,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
148,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
149,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
150,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
151,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
152,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
153,0.051499153,0.05298579,1.16E-05,0.000100394,0.05
154,0.085282275,0.072147815,0.001486343,0.00010125,0.05
155,0.085282275,0.072147815,0.001486343,0.00010125,0.05
156,0.085282275,0.072147815,0.001486343,0.00010125,0.05
157,0.085282275,0.072147815,0.001486343,0.00010125,0.05
158,0.085282275,0.072147815,0.001486343,0.00010125,0.05
159,0.085282275,0.072147815,0.001486343,0.00010125,0.05
160,0.085282275,0.072147815,0.001486343,0.00010125,0.05
161,0.085282275,0.072147815,0.001486343,0.00010125,0.05
162,0.085282275,0.072147815,0.001486343,0.00010125,0.05
163,0.085282275,0.072147815,0.001486343,0.00010125,0.05
164,0.085282275,0.072147815,0.001486343,0.00010125,0.05
165,0.085282275,0.072147815,0.001486343,0.00010125,0.05
166,0.085282275,0.072147815,0.001486343,0.00010125,0.05
167,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
168,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
169,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
170,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
171,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
172,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
173,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
174,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
175,0.182149285,0.03209521,0.000186349,9.94E-05,0.05
176,0.115315595,0.064208369,0.000702122,0.000102716,0.05
177,0.115315595,0.064208369,0.000702122,0.000102716,0.05
178,0.115315595,0.064208369,0.000702122,0.000102716,0.05
179,0.115315595,0.064208369,0.000702122,0.000102716,0.05
180,0.115315595,0.064208369,0.000702122,0.000102716,0.05
181,0.115315595,0.064208369,0.000702122,0.000102716,0.05
182,0.115315595,0.064208369,0.000702122,0.000102716,0.05
183,0.115315595,0.064208369,0.000702122,0.000102716,0.05
184,0.115315595,0.064208369,0.000702122,0.000102716,0.05
185,0.115315595,0.064208369,0.000702122,0.000102716,0.05
186,0.115315595,0.064208369,0.000702122,0.000102716,0.05
187,0.115315595,0.064208369,0.000702122,0.000102716,0.05
188,0.115315595,0.064208369,0.000702122,0.000102716,0.05
189,0.115315595,0.064208369,0.000702122,0.000102716,0.05
190,0.115315595,0.064208369,0.000702122,0.000102716,0.05
191,0.115315595,0.064208369,0.000702122,0.000102716,0.05
192,0.145298438,0.04548463,0.000853329,0.000100037,0.05
193,0.145298438,0.04548463,0.000853329,0.000100037,0.05
194,0.145298438,0.04548463,0.000853329,0.000100037,0.05
195,0.145298438,0.04548463,0.000853329,0.000100037,0.05
196,0.145298438,0.04548463,0.000853329,0.000100037,0.05
197,0.145298438,0.04548463,0.000853329,0.000100037,0.05
198,0.145298438,0.04548463,0.000853329,0.000100037,0.05
199,0.145298438,0.04548463,0.000853329,0.000100037,0.05
200,0.145298438,0.04548463,0.000853329,0.000100037,0.05
201,0.145298438,0.04548463,0.000853329,0.000100037,0.05
202,0.145298438,0.04548463,0.000853329,0.000100037,0.05
203,0.145298438,0.04548463,0.000853329,0.000100037,0.05
204,0.145298438,0.04548463,0.000853329,0.000100037,0.05
205,0.145298438,0.04548463,0.000853329,0.000100037,0.05
206,0.145298438,0.04548463,0.000853329,0.000100037,0.05
207,0.145298438,0.04548463,0.000853329,0.000100037,0.05
208,0.105301243,0.069849542,0.000744179,0.0001022,0.05
209,0.105301243,0.069849542,0.000744179,0.0001022,0.05
210,0.105301243,0.069849542,0.000744179,0.0001022,0.05
211,0.105301243,0.069849542,0.000744179,0.0001022,0.05
212,0.105301243,0.069849542,0.000744179,0.0001022,0.05
213,0.105301243,0.069849542,0.000744179,0.0001022,0.05
214,0.105301243,0.069849542,0.000744179,0.0001022,0.05
215,0.105301243,0.069849542,0.000744179,0.0001022,0.05
216,0.105301243,0.069849542,0.000744179,0.0001022,0.05
217,0.105301243,0.069849542,0.000744179,0.0001022,0.05
218,0.085199409,0.08284217,0.00029082,0.000102068,0.05
219,0.085199409,0.08284217,0.00029082,0.000102068,0.05
220,0.085199409,0.08284217,0.00029082,0.000102068,0.05
221,0.085199409,0.08284217,0.00029082,0.000102068,0.05
222,0.085199409,0.08284217,0.00029082,0.000102068,0.05
223,0.085199409,0.08284217,0.00029082,0.000102068,0.05
224,0.085199409,0.08284217,0.00029082,0.000102068,0.05
225,0.10550988,0.086022051,0.000414519,9.70E-05,0.05
226,0.10550988,0.086022051,0.000414519,9.70E-05,0.05
227,0.10550988,0.086022051,0.000414519,9.70E-05,0.05
228,0.10550988,0.086022051,0.000414519,9.70E-05,0.05
229,0.10550988,0.086022051,0.000414519,9.70E-05,0.05
230,0.085488323,0.074166764,0.000221081,9.96E-05,0.05
231,0.085488323,0.074166764,0.000221081,9.96E-05,0.05
232,0.085488323,0.074166764,0.000221081,9.96E-05,0.05
233,0.085488323,0.074166764,0.000221081,9.96E-05,0.05
234,0.091306956,0.078599069,0.000260612,0.000100122,0.05
235,0.091306956,0.078599069,0.000260612,0.000100122,0.05
236,0.091306956,0.078599069,0.000260612,0.000100122,0.05
237,0.091306956,0.078599069,0.000260612,0.000100122,0.05
238,0.091306956,0.078599069,0.000260612,0.000100122,0.05
239,0.091306956,0.078599069,0.000260612,0.000100122,0.05
240,0.091306956,0.078599069,0.000260612,0.000100122,0.05
