t,beta,r,d,gamma,sigma
1,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
2,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
3,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
4,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
5,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
6,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
7,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
8,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
9,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
10,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
11,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
12,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
13,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
14,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
15,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
16,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
17,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
18,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
19,0.10207482,0.008238994,0.000254976,2.34E-08,0.05
20,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
21,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
22,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
23,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
24,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
25,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
26,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
27,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
28,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
29,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
30,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
31,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
32,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
33,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
34,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
35,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
36,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
37,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
38,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
39,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
40,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
41,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
42,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
43,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
44,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
45,0.071892303,0.001595937,4.12E-05,6.10E-08,0.05
46,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
47,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
48,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
49,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
50,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
51,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
52,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
53,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
54,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
55,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
56,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
57,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
58,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
59,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
60,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
61,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
62,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
63,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
64,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
65,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
66,0.030966267,0.051576834,7.93E-06,8.50E-08,0.05
67,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
68,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
69,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
70,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
71,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
72,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
73,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
74,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
75,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
76,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
77,0.031924062,0.041697255,6.80E-06,1.31E-07,0.05
78,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
79,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
80,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
81,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
82,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
83,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
84,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
85,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
86,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
87,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
88,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
89,0.025257379,0.074576797,4.86E-06,7.23E-08,0.05
90,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
91,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
92,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
93,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
94,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
95,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
96,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
97,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
98,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
99,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
100,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
101,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
102,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
103,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
104,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
105,0.03787585,0.066764536,2.62E-06,4.47E-08,0.05
106,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
107,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
108,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
109,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
110,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
111,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
112,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
113,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
114,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
115,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
116,0.068241682,0.065540832,2.31E-06,6.37E-08,0.05
117,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
118,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
119,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
120,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
121,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
122,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
123,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
124,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
125,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
126,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
127,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
128,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
129,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
130,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
131,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
132,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
133,0.073115588,0.045978124,6.78E-06,7.61E-08,0.05
134,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
135,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
136,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
137,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
138,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
139,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
140,0.021615371,0.092410769,3.92E-06,1.16E-07,0.05
