t,beta,r,d,gamma,sigma
1,0.116250116,0.008687675,0.005939604,0.000100705,0.05
2,0.116250116,0.008687675,0.005939604,0.000100705,0.05
3,0.116250116,0.008687675,0.005939604,0.000100705,0.05
4,0.116250116,0.008687675,0.005939604,0.000100705,0.05
5,0.116250116,0.008687675,0.005939604,0.000100705,0.05
6,0.116250116,0.008687675,0.005939604,0.000100705,0.05
7,0.116250116,0.008687675,0.005939604,0.000100705,0.05
8,0.116250116,0.008687675,0.005939604,0.000100705,0.05
9,0.116250116,0.008687675,0.005939604,0.000100705,0.05
10,0.116250116,0.008687675,0.005939604,0.000100705,0.05
11,0.116250116,0.008687675,0.005939604,0.000100705,0.05
12,0.116250116,0.008687675,0.005939604,0.000100705,0.05
13,0.116250116,0.008687675,0.005939604,0.000100705,0.05
14,0.116250116,0.008687675,0.005939604,0.000100705,0.05
15,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
16,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
17,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
18,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
19,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
20,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
21,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
22,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
23,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
24,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
25,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
26,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
27,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
28,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
29,0.045687928,0.007958739,0.003445836,1.00E-04,0.05
30,0.031756737,0.011584393,0.002104207,0.000100343,0.05
31,0.031756737,0.011584393,0.002104207,0.000100343,0.05
32,0.031756737,0.011584393,0.002104207,0.000100343,0.05
33,0.031756737,0.011584393,0.002104207,0.000100343,0.05
34,0.031756737,0.011584393,0.002104207,0.000100343,0.05
35,0.031756737,0.011584393,0.002104207,0.000100343,0.05
36,0.031756737,0.011584393,0.002104207,0.000100343,0.05
37,0.031756737,0.011584393,0.002104207,0.000100343,0.05
38,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
39,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
40,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
41,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
42,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
43,0.024819927,0.004853747,0.001918739,1.00E-04,0.05
44,0.02028823,0.007668357,0.001266585,0.0001025,0.05
45,0.02028823,0.007668357,0.001266585,0.0001025,0.05
46,0.02028823,0.007668357,0.001266585,0.0001025,0.05
47,0.02028823,0.007668357,0.001266585,0.0001025,0.05
48,0.02028823,0.007668357,0.001266585,0.0001025,0.05
49,0.02028823,0.007668357,0.001266585,0.0001025,0.05
50,0.02028823,0.007668357,0.001266585,0.0001025,0.05
51,0.02028823,0.007668357,0.001266585,0.0001025,0.05
52,0.02028823,0.007668357,0.001266585,0.0001025,0.05
53,0.019058719,0.011796165,0.000815087,0.000102742,0.05
54,0.019058719,0.011796165,0.000815087,0.000102742,0.05
55,0.019058719,0.011796165,0.000815087,0.000102742,0.05
56,0.019058719,0.011796165,0.000815087,0.000102742,0.05
57,0.019058719,0.011796165,0.000815087,0.000102742,0.05
58,0.019058719,0.011796165,0.000815087,0.000102742,0.05
59,0.019058719,0.011796165,0.000815087,0.000102742,0.05
60,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
61,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
62,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
63,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
64,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
65,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
66,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
67,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
68,0.017226925,0.009045546,0.000798379,9.95E-05,0.05
69,0.017331963,0.006134767,0.000466429,0.000101189,0.05
70,0.017331963,0.006134767,0.000466429,0.000101189,0.05
71,0.017331963,0.006134767,0.000466429,0.000101189,0.05
72,0.017331963,0.006134767,0.000466429,0.000101189,0.05
73,0.017331963,0.006134767,0.000466429,0.000101189,0.05
74,0.017331963,0.006134767,0.000466429,0.000101189,0.05
75,0.017331963,0.006134767,0.000466429,0.000101189,0.05
76,0.017331963,0.006134767,0.000466429,0.000101189,0.05
77,0.017331963,0.006134767,0.000466429,0.000101189,0.05
78,0.017331963,0.006134767,0.000466429,0.000101189,0.05
79,0.017331963,0.006134767,0.000466429,0.000101189,0.05
80,0.017331963,0.006134767,0.000466429,0.000101189,0.05
81,0.017331963,0.006134767,0.000466429,0.000101189,0.05
82,0.017331963,0.006134767,0.000466429,0.000101189,0.05
83,0.017331963,0.006134767,0.000466429,0.000101189,0.05
84,0.017331963,0.006134767,0.000466429,0.000101189,0.05
85,0.017331963,0.006134767,0.000466429,0.000101189,0.05
86,0.017331963,0.006134767,0.000466429,0.000101189,0.05
87,0.025361953,0.006266699,0.000336557,0.000100079,0.05
88,0.025361953,0.006266699,0.000336557,0.000100079,0.05
89,0.025361953,0.006266699,0.000336557,0.000100079,0.05
90,0.025361953,0.006266699,0.000336557,0.000100079,0.05
91,0.025361953,0.006266699,0.000336557,0.000100079,0.05
92,0.025361953,0.006266699,0.000336557,0.000100079,0.05
