date,cases_recovered,cases_active,deaths_total,susceptible,,,
17/3/2020,49,622,2,31529327,,,
18/3/2020,60,728,2,31529210,,,
19/3/2020,75,823,2,31529100,,,
20/3/2020,87,940,3,31528970,,,
21/3/2020,114,1062,7,31528817,,,
22/3/2020,139,1156,11,31528694,,,
23/3/2020,159,1343,16,31528482,,,
24/3/2020,183,1423,18,31528376,,,
25/3/2020,199,1576,21,31528204,,,
26/3/2020,215,1790,26,31527969,,,
27/3/2020,259,1874,28,31527839,,,
28/3/2020,320,1966,34,31527680,,,
29/3/2020,388,2043,39,31527530,,,
30/3/2020,478,2105,43,31527374,,,
31/3/2020,536,2182,48,31527234,,,
1/4/2020,644,2214,50,31527092,,,
2/4/2020,766,2298,52,31526884,,,
3/4/2020,826,2450,57,31526667,,,
4/4/2020,914,2509,60,31526517,,,
5/4/2020,1004,2596,62,31526338,,,
6/4/2020,1240,2489,64,31526207,,,
7/4/2020,1320,2578,65,31526037,,,
8/4/2020,1486,2567,66,31525881,,,
9/4/2020,1607,2553,68,31525772,,,
10/4/2020,1829,2446,71,31525654,,,
11/4/2020,1994,2462,74,31525470,,,
12/4/2020,2107,2497,79,31525317,,,
13/4/2020,2275,2462,80,31525183,,,
14/4/2020,2477,2427,83,31525013,,,
15/4/2020,2646,2341,85,31524928,,,
16/4/2020,2765,2330,87,31524818,,,
17/4/2020,2966,2197,88,31524749,,,
18/4/2020,3101,2116,88,31524695,,,
19/4/2020,3196,2104,89,31524611,,,
20/4/2020,3294,2041,90,31524575,,,
21/4/2020,3348,2042,92,31524518,,,
22/4/2020,3451,1987,94,31524468,,,
23/4/2020,3541,1967,95,31524397,,,
24/4/2020,3662,1933,96,31524309,,,
25/4/2020,3761,1883,98,31524258,,,
26/4/2020,3861,1821,98,31524220,,,
27/4/2020,3956,1765,99,31524180,,,
28/4/2020,4031,1720,100,31524149,,,
29/4/2020,4086,1758,101,31524055,,,
30/4/2020,4170,1729,103,31523998,,,
1/5/2020,4209,1759,103,31523929,,,
2/5/2020,4325,1747,104,31523824,,,
