date,cases_recovered,cases_active,deaths_total,susceptible
1/2/2020,28,503,17,1411999452
1/3/2020,30,595,18,1411999357
1/4/2020,36,858,26,1411999080
1/5/2020,39,1325,42,1411998594
1/6/2020,49,1970,56,1411997925
1/7/2020,58,2737,82,1411997123
1/8/2020,101,5277,131,1411994491
1/9/2020,120,5834,133,1411993913
1/10/2020,135,7835,171,1411991859
1/11/2020,214,9375,213,1411990198
1/12/2020,275,11357,259,1411988109
13/1/2020,463,15806,361,1411983370
14/1/2020,614,18677,425,1411980284
15/1/2020,843,22373,491,1411976293
16/1/2020,1115,25762,563,1411972560
17/1/2020,1477,28477,633,1411969413
18/1/2020,1999,31393,718,1411965890
19/1/2020,2596,33413,805,1411963186
20/1/2020,3219,35705,905,1411960171
21/1/2020,3918,37424,1012,1411957646
22/1/2020,4636,38638,1112,1411955614
23/1/2020,5082,38560,1117,1411955241
24/1/2020,6217,52309,1369,1411940105
25/1/2020,7977,56860,1521,1411933642
26/1/2020,9298,57452,1663,1411931587
27/1/2020,10755,57992,1766,1411929487
28/1/2020,12462,58108,1864,1411927566
29/1/2020,14206,58002,2003,1411925789
30/1/2020,15962,56541,2116,1411925381
31/1/2020,18014,54825,2238,1411924923
2/1/2020,18704,54608,2238,1411924450
2/2/2020,22699,51859,2443,1411922999
2/3/2020,23187,51390,2445,1411922978
2/4/2020,25015,49631,2595,1411922759
2/5/2020,27676,47413,2665,1411922246
2/6/2020,30084,45365,2717,1411921834
2/7/2020,32930,42924,2746,1411921400
2/8/2020,36329,39809,2790,1411921072
2/9/2020,39320,37199,2837,1411920644
2/10/2020,42162,34898,2872,1411920068
2/11/2020,44854,32368,2914,1411919864
2/12/2020,47450,29864,2947,1411919739
13/2/2020,50001,27402,2983,1411919614
14/2/2020,52292,25230,3015,1411919463
15/2/2020,53944,23702,3044,1411919310
16/2/2020,55539,22159,3072,1411919230
17/2/2020,57388,20335,3100,1411919177
18/2/2020,58804,18933,3123,1411919140
19/2/2020,60181,17567,3139,1411919113
20/2/2020,61644,16116,3161,1411919079
21/2/2020,62901,14859,3172,1411919068
22/2/2020,64196,13569,3180,1411919055
23/2/2020,65660,12124,3193,1411919023
24/2/2020,67017,10782,3204,1411918997
25/2/2020,67910,9904,3219,1411918967
26/2/2020,68798,9028,3232,1411918942
27/2/2020,69755,8104,3243,1411918898
28/2/2020,70535,7370,3251,1411918844
29/2/2020,71266,6729,3255,1411918750
3/1/2020,71857,6186,3262,1411918695
3/2/2020,72362,5796,3277,1411918565
3/3/2020,72814,5400,3279,1411918507
3/4/2020,73280,5021,3286,1411918413
3/5/2020,73773,4595,3290,1411918342
3/6/2020,74181,4301,3299,1411918219
3/7/2020,74720,3848,3304,1411918128
3/8/2020,75100,3557,3307,1411918036
3/9/2020,75582,3163,3313,1411917942
3/10/2020,75923,2898,3318,1411917861
3/11/2020,76206,4257,3323,1411916214
3/12/2020,76405,4265,3332,1411915998
13/3/2020,76565,4225,3339,1411915871
14/3/2020,76760,4157,3348,1411915735
15/3/2020,76946,4064,3353,1411915637
16/3/2020,77207,3903,3357,1411915533
17/3/2020,77310,3940,3361,1411915389
18/3/2020,77410,3920,3362,1411915308
19/3/2020,77567,3976,3366,1411915091
