date,cases_recovered,cases_active,deaths_total,susceptible
22/2/2020,1,59,2,59109938
23/2/2020,2,150,3,59109845
24/2/2020,1,221,7,59109771
25/2/2020,1,311,10,59109678
26/2/2020,3,438,12,59109547
27/2/2020,45,593,17,59109345
28/2/2020,46,821,21,59109112
29/2/2020,46,1053,29,59108872
3/1/2020,83,1577,34,59108306
3/2/2020,149,1835,52,59107964
3/3/2020,160,2263,79,59107498
3/4/2020,276,2706,107,59106911
3/5/2020,414,3296,148,59106142
3/6/2020,523,3916,197,59105364
3/7/2020,589,5061,233,59104117
3/8/2020,622,6387,366,59102625
3/9/2020,724,7985,463,59100828
3/10/2020,724,8794,631,59099851
3/11/2020,1045,10590,827,59097538
3/12/2020,1045,13052,1016,59094887
13/3/2020,1439,14955,1266,59092340
14/3/2020,1966,17750,1441,59088843
15/3/2020,2335,20603,1809,59085253
16/3/2020,2749,23073,2158,59082020
17/3/2020,2941,26062,2503,59078494
18/3/2020,4025,28710,2978,59074287
19/3/2020,4440,33190,3405,59068965
20/3/2020,4440,38549,4032,59062979
21/3/2020,6072,42681,4825,59056422
22/3/2020,7024,46638,5476,59050862
23/3/2020,7024,50826,6077,59046073
24/3/2020,8326,54030,6820,59040824
25/3/2020,9362,57521,7503,59035614
26/3/2020,10361,62013,8215,59029411
27/3/2020,10950,66414,9134,59023502
28/3/2020,12384,70065,10023,59017528
29/3/2020,13030,73880,10779,59012311
30/3/2020,14620,75528,11591,59008261
31/3/2020,15729,77635,12428,59004208
4/1/2020,16847,80572,13155,58999426
4/2/2020,18278,83049,13915,58994758
4/3/2020,19758,85388,14681,58990173
4/4/2020,20996,88274,15362,58985368
4/5/2020,21815,91246,15887,58981052
4/6/2020,22837,93187,16523,58977453
4/7/2020,24392,94067,17127,58974414
4/8/2020,26491,95262,17669,58970578
4/9/2020,28470,96877,18279,58966374
4/10/2020,30455,98273,18849,58962423
4/11/2020,32534,100269,19468,58957729
4/12/2020,34211,102253,19899,58953637
13/4/2020,35435,103616,20465,58950484
14/4/2020,37130,104291,21067,58947512
15/4/2020,38092,105418,21645,58944845
16/4/2020,40164,106607,22170,58941059
17/4/2020,42727,106962,22745,58937566
18/4/2020,44927,107771,23227,58934075
19/4/2020,47055,108257,23660,58931028
20/4/2020,48877,108237,24114,58928772
21/4/2020,51600,107709,24648,58926043
22/4/2020,54543,107699,25085,58922673
23/4/2020,57576,106848,25549,58920027
24/4/2020,60498,106527,25969,58917006
25/4/2020,63120,105847,26384,58914649
