date,cases_recovered,cases_active,deaths_total,susceptible
22/3/2020,140,290,2,5685568
23/3/2020,144,309,2,5685545
24/3/2020,144,363,2,5685491
25/3/2020,156,400,2,5685442
26/3/2020,160,469,2,5685369
27/3/2020,172,509,2,5685317
28/3/2020,183,547,2,5685268
29/3/2020,198,602,2,5685198
30/3/2020,212,629,3,5685156
31/3/2020,228,648,3,5685121
4/1/2020,240,683,3,5685074
4/2/2020,245,752,3,5685000
4/3/2020,266,779,4,5684951
4/4/2020,282,827,5,5684886
4/5/2020,297,886,6,5684811
4/6/2020,320,983,6,5684691
4/7/2020,344,1025,6,5684625
4/8/2020,377,1098,6,5684519
4/9/2020,406,1211,6,5684377
4/10/2020,460,1444,6,5684090
4/11/2020,492,1609,7,5683892
4/12/2020,528,1763,8,5683701
13/4/2020,560,1964,8,5683468
14/4/2020,586,2323,9,5683082
15/4/2020,611,2631,10,5682748
16/4/2020,652,3037,10,5682301
17/4/2020,683,3734,10,5681573
18/4/2020,708,4331,11,5680950
19/4/2020,740,5241,11,5680008
20/4/2020,768,5809,11,5679412
21/4/2020,801,7202,11,5677986
22/4/2020,839,8275,11,5676875
23/4/2020,896,9233,12,5675859
24/4/2020,924,10242,12,5674822
25/4/2020,956,11107,12,5673925
26/4/2020,1002,11679,12,5673307
27/4/2020,1060,12552,12,5672376
28/4/2020,1095,13314,14,5671577
29/4/2020,1128,13809,14,5671049
30/4/2020,1188,14439,14,5670359
5/1/2020,1244,14910,15,5669831
5/2/2020,1268,15817,16,5668899
5/3/2020,1347,16184,17,5668452
5/4/2020,1408,16779,18,5667795
5/5/2020,1457,17303,18,5667222
5/6/2020,1519,17873,18,5666590
5/7/2020,1634,18544,20,5665802
5/8/2020,1712,19207,20,5665061
5/9/2020,2040,19647,20,5664293
5/10/2020,2296,20144,20,5663540
5/11/2020,2721,20595,20,5662664
5/12/2020,3225,20576,21,5662178
13/5/2020,3851,20799,21,5661329
14/5/2020,4809,20516,21,5660654
15/5/2020,5973,20104,21,5659902
16/5/2020,7248,19622,21,5659109
17/5/2020,8342,18992,22,5658644
18/5/2020,9340,18676,22,5657962
19/5/2020,9835,18486,22,5657657
20/5/2020,10365,18407,22,5657206
21/5/2020,11207,18135,22,5656636
22/5/2020,12117,17672,23,5656188
23/5/2020,12995,17408,23,5655574
24/5/2020,13882,17163,23,5654932
25/5/2020,14876,16717,23,5654384
26/5/2020,15738,16199,23,5654040
27/5/2020,16444,15876,23,5653657
28/5/2020,17276,15577,23,5653124
29/5/2020,18294,14932,23,5652751
30/5/2020,19631,14206,23,5652140
31/5/2020,20727,13616,23,5651634
6/1/2020,21699,13162,23,5651116
6/2/2020,22466,12802,24,5650708
6/3/2020,23175,12637,24,5650164
6/4/2020,23582,12799,24,5649595
6/5/2020,23904,12994,24,5649078
6/6/2020,24209,12950,24,5648817
6/7/2020,24559,12943,25,5648473
6/8/2020,24886,12999,25,5648090
6/9/2020,25368,12903,25,5647704
6/10/2020,25877,12612,25,5647486
6/11/2020,26532,12408,25,5647035
6/12/2020,27286,12076,25,5646613
13/6/2020,28040,11785,25,5646150
14/6/2020,28808,11363,26,5645803
15/6/2020,29589,10989,26,5645396
16/6/2020,30366,10426,26,5645182
17/6/2020,31163,9780,26,5645031
18/6/2020,31938,9252,26,5644784
19/6/2020,32712,8735,26,5644527
20/6/2020,33459,8130,26,5644385
21/6/2020,34224,7583,26,5644167
22/6/2020,34942,7127,26,5643905
23/6/2020,35590,6697,26,5643687
24/6/2020,35995,6411,26,5643568
25/6/2020,36299,6298,26,5643377
26/6/2020,36604,6106,26,5643264
27/6/2020,36825,6104,26,5643045
28/6/2020,37163,6057,26,5642754
29/6/2020,37508,5925,26,5642541
30/6/2020,37985,5650,26,5642339
7/1/2020,38500,5381,26,5642093
7/2/2020,39011,5085,26,5641878
7/3/2020,39429,4855,26,5641690
7/4/2020,39769,4684,26,5641521
7/5/2020,40117,4521,26,5641336
7/6/2020,40441,4333,26,5641200
7/7/2020,40717,4240,26,5641017
7/8/2020,41002,4112,26,5640860
7/9/2020,41323,3949,26,5640702
7/10/2020,41645,3752,26,5640577
7/11/2020,41780,3808,26,5640386
7/12/2020,42026,3731,26,5640217
13/7/2020,42285,3650,26,5640039
14/7/2020,42541,3716,26,5639717
15/7/2020,42737,3866,27,5639370
16/7/2020,42988,3863,27,5639122
17/7/2020,43256,3843,27,5638874
18/7/2020,43577,3849,27,5638547
19/7/2020,43833,3795,27,5638345
20/7/2020,44086,3799,27,5638088
21/7/2020,44371,3637,27,5637965
22/7/2020,44584,3823,27,5637566
23/7/2020,44795,3922,27,5637256
24/7/2020,45015,4056,27,5636902
25/7/2020,45172,4176,27,5636625
26/7/2020,45352,4509,27,5636112
27/7/2020,45521,4821,27,5635631
28/7/2020,45692,5119,27,5635162
29/7/2020,45893,5277,27,5634803
30/7/2020,46098,5406,27,5634469
31/7/2020,46308,5474,27,5634191
8/1/2020,46491,5687,27,5633795
8/2/2020,46740,5745,27,5633488
8/3/2020,46926,5872,27,5633175
8/4/2020,47179,5845,27,5632949
8/5/2020,47454,5865,27,5632654
8/6/2020,47768,6459,27,5631746
8/7/2020,48031,6497,27,5631445
8/8/2020,48312,6458,27,5631203
8/9/2020,48583,6319,27,5631071
8/10/2020,48915,6162,27,5630896
8/11/2020,49609,5656,27,5630708
8/12/2020,50128,5198,27,5630647
13/8/2020,50520,4848,27,5630605
14/8/2020,50736,4734,27,5630503
15/8/2020,51049,4504,27,5630420
16/8/2020,51521,4113,27,5630339
17/8/2020,51953,3767,27,5630253
18/8/2020,52350,3461,27,5630162
19/8/2020,52533,3378,27,5630062
20/8/2020,52810,3194,27,5629969
21/8/2020,53119,2953,27,5629901
22/8/2020,53651,2538,27,5629784
23/8/2020,53920,2319,27,5629734
24/8/2020,54164,2162,27,5629647
25/8/2020,54587,1790,27,5629596
26/8/2020,54816,1592,27,5629565
27/8/2020,54971,1497,27,5629505
28/8/2020,55139,1406,27,5629428
29/8/2020,55337,1302,27,5629334
30/8/2020,55447,1243,27,5629283
31/8/2020,55586,1158,27,5629229
9/1/2020,55658,1127,27,5629188
9/2/2020,55749,1076,27,5629148
9/3/2020,55891,942,27,5629140
9/4/2020,56028,853,27,5629092
9/5/2020,56174,747,27,5629052
9/6/2020,56267,688,27,5629018
9/7/2020,56333,662,27,5628978
9/8/2020,56408,609,27,5628956
9/9/2020,56461,603,27,5628909
9/10/2020,56492,647,27,5628834
9/11/2020,56558,644,27,5628771
9/12/2020,56607,681,27,5628685
13/9/2020,56699,631,27,5628643
14/9/2020,56764,615,27,5628594
15/9/2020,56802,625,27,5628546
16/9/2020,56884,577,27,5628512
17/9/2020,56955,532,27,5628486
18/9/2020,57039,466,27,5628468
19/9/2020,57071,445,27,5628457
20/9/2020,57142,389,27,5628442
21/9/2020,57181,368,27,5628424
22/9/2020,57241,338,27,5628394
23/9/2020,57262,338,27,5628373
24/9/2020,57291,321,27,5628361
25/9/2020,57333,294,27,5628346
26/9/2020,57341,297,27,5628335
