date,cases_recovered,cases_active,deaths_total,susceptible
2/3/2020,7,42,6,331899945
3/3/2020,7,60,7,331899926
4/3/2020,7,89,11,331899893
5/3/2020,7,165,12,331899816
6/3/2020,7,216,14,331899763
7/3/2020,7,379,17,331899597
8/3/2020,7,491,21,331899481
9/3/2020,7,565,22,331899406
10/3/2020,8,746,28,331899218
11/3/2020,8,1106,33,331898853
12/3/2020,12,1531,43,331898414
13/3/2020,12,2156,51,331897781
14/3/2020,12,2908,58,331897022
15/3/2020,12,3130,70,331896788
16/3/2020,17,4565,97,331895321
17/3/2020,17,6361,134,331893488
18/3/2020,105,8870,194,331890831
19/3/2020,121,13276,266,331886337
20/3/2020,147,19511,372,331879970
21/3/2020,176,25374,475,331873975
22/3/2020,178,34163,603,331865056
23/3/2020,178,45128,790,331853904
24/3/2020,348,55333,1033,331843286
25/3/2020,361,67114,1366,331831159
26/3/2020,681,84198,1783,331813338
27/3/2020,869,102079,2305,331794747
28/3/2020,1072,123327,3018,331772583
29/3/2020,2665,137306,3573,331756456
30/3/2020,5644,155774,4280,331734302
31/3/2020,7024,179696,5359,331707921
1/4/2020,8474,212424,6996,331672106
2/4/2020,9001,242624,8545,331639830
3/4/2020,9707,272930,9973,331607390
4/4/2020,14652,298084,11593,331575671
5/4/2020,17448,322440,13216,331546896
6/4/2020,19581,350535,14979,331514905
7/4/2020,21763,375897,17585,331484755
8/4/2020,23559,403193,19737,331453511
9/4/2020,25410,435108,21993,331417489
10/4/2020,28790,463703,24207,331383300
11/4/2020,31270,488098,26311,331354321
12/4/2020,32988,510355,28194,331328463
13/4/2020,43482,525104,30195,331301219
14/4/2020,47763,546839,32676,331272722
15/4/2020,52096,566257,35300,331246347
16/4/2020,54703,591136,37487,331216674
17/4/2020,58545,618338,39591,331183526
18/4/2020,64840,637425,41534,331156201
19/4/2020,70337,654996,43501,331131166
20/4/2020,72329,681371,45787,331100513
21/4/2020,75204,701985,48239,331074572
22/4/2020,77366,727304,50704,331044626
23/4/2020,80203,754089,53132,331012576
24/4/2020,99079,764646,55196,330981079
25/4/2020,100372,792205,56935,330950488
26/4/2020,106988,810039,58350,330924623
27/4/2020,111424,828854,59837,330899885
28/4/2020,115936,846637,62069,330875358
29/4/2020,120720,866278,64443,330848559
30/4/2020,153947,860418,66635,330819000
1/5/2020,164015,883316,68515,330784154
2/5/2020,175382,896815,70258,330757545
3/5/2020,180152,914421,71461,330733966
4/5/2020,187180,930043,72831,330709946
5/5/2020,189791,949305,75010,330685894
6/5/2020,189910,971255,77331,330661504
7/5/2020,195036,991848,79237,330633879
8/5/2020,198993,1013259,81006,330606742
9/5/2020,212534,1022392,82477,330582597
10/5/2020,216169,1036449,83478,330563904
11/5/2020,232733,1038117,84504,330544646
12/5/2020,230287,1062455,86096,330521162
13/5/2020,243430,1067685,87791,330501094
14/5/2020,246414,1088810,89560,330475216
15/5/2020,250747,1107676,91188,330450389
16/5/2020,268376,1112763,92357,330426504
17/5/2020,272265,1126686,93172,330407877
18/5/2020,283178,1136942,94394,330385486
19/5/2020,289392,1149849,95822,330364937
20/5/2020,294312,1166297,97292,330342099
21/5/2020,298418,1186102,98474,330317006
22/5/2020,350135,1157012,99678,330293175
23/5/2020,361239,1164715,100756,330273290
24/5/2020,366736,1178691,101395,330253178
25/5/2020,379157,1184844,101995,330234004
26/5/2020,384902,1197138,102648,330215312
27/5/2020,391508,1207881,104100,330196511
28/5/2020,399991,1219461,105166,330175382
29/5/2020,406446,1236674,106275,330150605
30/5/2020,416461,1248425,107223,330127891
31/5/2020,444758,1238268,107846,330109128
1/6/2020,458231,1241881,108613,330091275
2/6/2020,463868,1255333,109584,330071215
3/6/2020,479258,1258028,110584,330052130
4/6/2020,485002,1279093,111582,330024323
5/6/2020,491706,1297857,112452,329997985
6/6/2020,500849,1308230,113090,329977831
7/6/2020,506367,1320060,113550,329960023
8/6/2020,518522,1324320,114052,329943106
9/6/2020,524855,1337415,114961,329922769
10/6/2020,533504,1349684,115819,329900993
11/6/2020,540292,1364394,116630,329878684
12/6/2020,547386,1382031,117453,329853130
13/6/2020,556606,1396234,118159,329829001
14/6/2020,561816,1409627,118507,329810050
15/6/2020,576334,1415816,118905,329788945
16/6/2020,583503,1432510,119681,329764306
17/6/2020,592191,1450163,120422,329737224
18/6/2020,599115,1470782,121119,329708984
19/6/2020,606715,1493537,121750,329677998
20/6/2020,617460,1514091,122313,329646136
21/6/2020,622133,1534957,122632,329620278
22/6/2020,640198,1546505,123011,329590286
23/6/2020,647548,1577312,123741,329551399
24/6/2020,656161,1604253,124496,329515090
25/6/2020,663562,1635653,125047,329475738
26/6/2020,670809,1676848,125676,329426667
27/6/2020,679308,1708668,126175,329385849
28/6/2020,685164,1745403,126498,329342935
29/6/2020,705203,1766543,126869,329301385
30/6/2020,720631,1800605,127418,329251346
1/7/2020,729994,1839873,128120,329202013
2/7/2020,781970,1842230,128862,329146938
3/7/2020,790404,1884762,129541,329095293
4/7/2020,894325,1826549,129848,329049278
5/7/2020,906763,1867733,130171,328995333
6/7/2020,924148,1893601,130556,328951695
7/7/2020,936476,1937554,131700,328894270
8/7/2020,953462,1980211,132542,328833785
9/7/2020,969111,2023333,133578,328773978
10/7/2020,983185,2077195,134383,328705237
11/7/2020,995576,2124471,135136,328644817
12/7/2020,1006326,2173460,135613,328584601
13/7/2020,1031939,2207029,136056,328524976
14/7/2020,1049098,2254711,136951,328459240
15/7/2020,1075882,2293255,137912,328392951
16/7/2020,1090645,2348280,138883,328322192
17/7/2020,1107204,2397238,139806,328255752
18/7/2020,1122720,2445139,140696,328191445
19/7/2020,1131121,2495244,141179,328132456
20/7/2020,1160087,2526630,141710,328071573
21/7/2020,1182018,2571888,142806,328003288
22/7/2020,1210849,2609280,144030,327935841
23/7/2020,1233269,2653561,145106,327868064
24/7/2020,1261624,2699060,146196,327793120
25/7/2020,1279414,2744047,147164,327729375
26/7/2020,1297863,2780681,147703,327673753
27/7/2020,1325804,2811630,148814,327613752
28/7/2020,1355363,2845412,150026,327549199
29/7/2020,1389425,2873974,151460,327485141
30/7/2020,1414155,2917135,152756,327415954
31/7/2020,1438160,2956329,153924,327351587
1/8/2020,1461885,2988889,155040,327294186
2/8/2020,1468689,3028501,155505,327247305
3/8/2020,1513446,3025091,156070,327205393
4/8/2020,1528979,3069939,157321,327143761
5/8/2020,1577851,3073781,158743,327089625
6/8/2020,1598624,3111872,159931,327029573
7/8/2020,1623870,3145774,161223,326969133
8/8/2020,1643118,3189207,162312,326905363
9/8/2020,1656864,3229045,162889,326851202
10/8/2020,1670755,3266276,163414,326799555
11/8/2020,1714960,3277867,164491,326742682
12/8/2020,1753760,3292786,166000,326687454
13/8/2020,1774648,3322318,167034,326636000
14/8/2020,1796326,3369421,168338,326565915
15/8/2020,1818527,3398499,169376,326513598
16/8/2020,1833067,3417917,169991,326479025
17/8/2020,1865580,3422926,170469,326441025
18/8/2020,1898159,3434110,171696,326396035
19/8/2020,1925049,3452444,172381,326350126
20/8/2020,1947035,3474485,173481,326304999
21/8/2020,1965056,3503277,174576,326257091
22/8/2020,1985484,3527162,175531,326211823
23/8/2020,1997761,3546273,176037,326179929
24/8/2020,2020774,3556918,176470,326145838
25/8/2020,2053699,3565324,177693,326103284
26/8/2020,2084465,3575585,178851,326061099
27/8/2020,2101326,3608046,179958,326010670
28/8/2020,2118367,3636396,180880,325964357
29/8/2020,2140614,3656235,181842,325921309
30/8/2020,2153939,3676629,182282,325887150
31/8/2020,2184825,3678790,182764,325853621
1/9/2020,2202663,3701851,183831,325811655
2/9/2020,2231757,3711809,184885,325771549
3/9/2020,2266957,3720782,185907,325726354
4/9/2020,2283454,3751987,186858,325677701
5/9/2020,2302187,3775670,187651,325634492
6/9/2020,2315995,3790494,188087,325605424
7/9/2020,2333551,3797317,188410,325580722
8/9/2020,2359111,3798379,188883,325553627
9/9/2020,2387479,3802745,189983,325519793
10/9/2020,2403511,3825433,190892,325480164
11/9/2020,2417878,3854744,192034,325435344
12/9/2020,2434658,3882806,192771,325389765
13/9/2020,2451406,3905961,193165,325349468
14/9/2020,2474570,3915291,193586,325316553
15/9/2020,2495127,3930961,194777,325279135
16/9/2020,2525573,3937935,195710,325240782
17/9/2020,2540334,3967763,196560,325195343
18/9/2020,2556465,4000882,197518,325145135
19/9/2020,2577446,4024853,198184,325099517
20/9/2020,2590671,4052946,198449,325057934
21/9/2020,2615949,4059539,198861,325025651
22/9/2020,2646959,4065796,199882,324987363
23/9/2020,2670256,4082666,200933,324946145
24/9/2020,2710183,4090796,201821,324897200
25/9/2020,2727335,4119747,202735,324850183
26/9/2020,2750459,4139305,203497,324806739
27/9/2020,2766280,4156870,203801,324773049
28/9/2020,2794608,4166279,204141,324734972
29/9/2020,2813305,4188953,205035,324692707
30/9/2020,2840688,4199563,205940,324653809
1/10/2020,2860650,4225060,206836,324607454
2/10/2020,2873369,4265026,207673,324553932
3/10/2020,2897322,4289715,208345,324504618
